«Управление бизнесом»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 373;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/bba/ !!
«Маркетинг и рыночная аналитика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 379;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/marketing/ !!
«Управление логистикой и цепями поставок в бизнесе»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 276;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/logistics/ !!
«Государственное и муниципальное управление»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 359;!!Стоимость обучения, тыс. руб. в год: 480;!!Сайт образовательной программы: !https://www.hse.ru/ba/gmu/ !!
«Бизнес-информатика»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;!!Проходной балл на бюджет 2019 года: 290;!!Стоимость обучения, тыс. руб. в год: 570;!!Сайт образовательной программы: !https://www.hse.ru/ba/bi/ !!
«Цифровые инновации в управлении предприятием (программа двух дипломов НИУ ВШЭ и Лондонского университета)»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык;;!!Стоимость обучения, тыс. руб. в год: 690;!!Сайт образовательной программы: !https://www.hse.ru/ba/digital/!!
«Социология»!!;Требуемый набор экзаменов: !1. Русский язык!2. Математика!3. Иностранный язык!4. Обществознание;!!Проходной балл на бюджет 2019 года: 364;!!Стоимость обучения, тыс. руб. в год: 390;!!Сайт образовательной программы: !https://www.hse.ru/ba/soc/ !!
«Юриспруденция»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 377;!!Стоимость обучения, тыс. руб. в год: 430;!!Сайт образовательной программы: !https://www.hse.ru/ba/law/ !!
«Юриспруденция: частное право»!!;Требуемый набор экзаменов: !1. Русский язык!2. Обществознание!3. Иностранный язык!4. История;!!Проходной балл на бюджет 2019 года: 384;!!Стоимость обучения, тыс. руб. в год: 490;!!Сайт образовательной программы: !https://www.hse.ru/ba/privlaw/ !!
«Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии»»;Требуемый набор экзаменов: !1. Русский язык!2. Иностранный язык!3. История;;!!Стоимость обучения, тыс. руб. в год: 550;!!Сайт образовательной программы: !https://www.hse.ru/ba/epa/ !!
